support_tick_id,support_ticket_text,Category,Tags,Priority,ETA
ST2023-006,"My internet connection has significantly slowed down over the past two days, making it challenging to work efficiently from home. Frequent disconnections are causing major disruptions. Please assist in resolving this connectivity issue promptly.",Technical Issues,"Internet, Connectivity",High,2 hours
ST2023-007,"Urgent help required! My laptop refuses to start, and I have a crucial presentation scheduled for tomorrow. I've attempted a restart, but it hasn't worked. Please provide immediate assistance to resolve this hardware issue",Hardware Issues,"Laptop, Startup Failure",High,1 hour
ST2023-008,"I've accidentally deleted essential work documents, causing substantial data loss. I understand the need to avoid further actions on my device. Can you please prioritize the data recovery process and guide me through it?",Data Recovery,"Accidental deletion, Data loss",High,4 hours
ST2023-009,"Despite being in close proximity to my Wi-Fi router, the signal remains persistently weak in my home. This issue has been ongoing, and I need assistance troubleshooting it. Please help me resolve the weak Wi-Fi signal problem.",Technical Issues,"Wi-Fi, Signal Strength",High,2 hours
ST2023-010,"My smartphone battery is draining rapidly, even with minimal use. Can you help me identify and rectify this battery issue?",Hardware Issues,"Battery, Draining",High,1 day
ST2023-011,I'm locked out of my online banking account and need immediate assistance in resetting my password for an urgent transaction.,Technical Issues,"Online Banking, Password Reset",High,1 hour
ST2023-012,"My computer's performance is sluggish, severely impacting my work. I need help optimizing it to regain productivity.",Technical Issues,Performance Optimization,High,4 hours
ST2023-013,"I'm experiencing a recurring blue screen error on my PC, causing frequent crashes. Help me diagnose and resolve this hardware issue.",Hardware Issues,"Blue Screen Error, Frequent Crashes",High,4 hours
ST2023-014,My external hard drive isn't being recognized by my computer. I need assistance recovering vital data stored on it.,Data Recovery,"External Hard Drive, Data Recovery",High,1 day
ST2023-015,"The graphics card in my gaming laptop seems to be malfunctioning, causing poor gaming performance. Can you assist in diagnosing and fixing this hardware issue?",Hardware Issues,"Graphics Card, Gaming Laptop, Performance",High,4 hours
ST2023-016,I accidentally formatted my USB drive with critical work files. Can you guide me through the data recovery process to retrieve these files?,Data Recovery,"USB Drive, Formatted, Data Recovery",High,24 hours
ST2023-017,"My computer's screen has gone black, and I can't seem to fix it. Urgent assistance needed to get it up and running.",Hardware Issues,"Black screen, Computer, Urgent",High,1 hour
ST2023-018,"I accidentally spilled water on my laptop, and it won't turn on. Can you help me assess the damage and recover my data?",Data Recovery,"Water Damage, Laptop, Data Recovery",High,1 day
ST2023-019,"My USB flash drive is physically damaged, and I need assistance in recovering critical files from it.",Data Recovery,"USB flash drive, physically damaged, file recovery",High,24 hours
ST2023-020,"The touchpad on my laptop has stopped working, making it difficult to use. Can you help me troubleshoot this hardware issue?",Hardware Issues,"Touchpad, Laptop",High,2 hours
ST2023-021,"My internet connection is frequently dropping, affecting my work. Urgent help needed.",Technical Issues,"Internet, Connectivity",High,2 hours
ST2023-022,Wi-Fi is inconsistent despite proximity to the router. This is affecting my work. Help needed.,Technical Issues,"Wi-Fi, Connectivity",High,2 hours
ST2023-023,I accidentally formatted my USB drive with crucial files. Help needed for data recovery.,Data Recovery,"USB Drive, Formatting, Data Recovery",High,4 hours
ST2023-024,"My external hard drive isn't being recognized, and I need assistance recovering vital data.",Data Recovery,"External Hard Drive, Data Recovery",High,4 hours
ST2023-025,"I am experiencing a critical problem with my internet connection over the past 24 hours. My internet speed has significantly slowed down, and I'm encountering frequent disconnections. This has made it nearly impossible for me to work from home effectively. I have tried restarting my router, but the issue persists.I rely heavily on a stable internet connection for my job, and this problem is causing substantial productivity loss. It's imperative to have this issue resolved promptly. I would greatly appreciate your urgent assistance in diagnosing and resolving this connectivity problem.I rely heavily on a stable internet connection for my job, and this problem is causing substantial productivity loss. It's imperative to have this issue resolved promptly. I would greatly appreciate your urgent assistance in diagnosing and resolving this connectivity problem.",Technical Issues,"Internet, Connectivity",High,4 hours
ST2023-026,"I hope this message finds you well. I am writing to report a perplexing issue I've encountered with my work computer in recent days. 
The problem seems to involve a combination of unusual software behavior and unexpected data loss.
Over the past week, I've observed that certain software applications on my computer have been 
behaving erratically. For example, some applications freeze randomly, while others exhibit unexplained crashes. Additionally, 
I've noticed that some files and documents that were previously saved on my desktop have mysteriously 
disappeared. These issues are causing significant disruptions to my daily tasks and workflow.
While I don't have specific instructions on how to resolve this complex problem,
I suspect there may be an underlying issue with the system or software compatibility. 
I kindly request your expertise and assistance in thoroughly diagnosing this intricate problem. 
Your insights and guidance would be greatly appreciated. If you require any additional information 
or access to my computer for remote diagnostics, please do not hesitate to let me know.
I understand that this issue may require some time and effort to address, and I am fully prepared 
to cooperate and provide any necessary information to facilitate the resolution process. Thank you in advance for your attention to this matter, and I look forward to your response.",Technical Issues,"Software Behavior, Data Loss",High,4 hours
